Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 16 Dec 2024 11:42:30 PM

Recipient,2004,2005,2006,2004-2006,Percentage,2009,2010,2011,2009-2011,Percentage,2014,2015,2016,2014-2016,Percentage,Sum total years,Percentage of total
South Korea,871,619,1359,2849,13%,206,1235,1478,2918,12%,350,171,540,1061,3.7%,6828,9.2%
Saudi Arabia,323,151,171,645,3.1%,243,366,394,1002,4.1%,1391,1747,1748,4885,17%,6533,8.8%
UAE,386,1269,1006,2660,13%,398,157,853,1409,5.7%,522,794,642,1957,6.8%,6027,8.1%
Australia,113,100,344,557,2.6%,626,1424,1021,3072,12%,247,841,892,1981,6.9%,5609,7.5%
Israel,838,1086,1110,3034,14%,138,44,56,238,1.0%,121,227,521,868,3.0%,4140,5.6%
Japan,353,347,404,1103,5.2%,956,610,272,1839,7.5%,307,331,324,961,3.3%,3903,5.2%
Singapore,366,537,36,938,4.4%,715,675,442,1832,7.4%,26,76,558,660,2.3%,3430,4.6%
Taiwan,314,645,503,1462,6.9%,0 ,35,137,172,0.7%,1042,600,93,1735,6.0%,3369,4.5%
Iraq,8,50,62,120,0.6%,333,381,432,1146,4.7%,247,789,882,1919,6.7%,3185,4.3%
Egypt,495,599,440,1534,7.3%,16,249,160,425,1.7%,182,598,166,946,3.3%,2904,3.9%
Turkiye,129,271,4,404,1.9%,21,8,329,357,1.5%,1099,298,178,1575,5.5%,2336,3.1%
Greece,828,102,20,950,4.5%,929,151,19,1099,4.5%,61,92,22,175,0.6%,2224,3.0%
Pakistan,72,170,105,347,1.6%,152,1034,269,1455,5.9%,204,107,20,330,1.1%,2132,2.9%
United Kingdom,170,18,164,352,1.7%,282,312,212,806,3.3%,197,371,213,780,2.7%,1938,2.6%
India,,,80,80,0.4%,,54,214,268,1.1%,1115,261,41,1417,4.9%,1765,2.4%
Canada,71,90,68,229,1.1%,102,210,331,642,2.6%,202,316,147,666,2.3%,1536,2.1%
Italy,412,69,22,503,2.4%,14,30,231,275,1.1%,84,194,396,673,2.3%,1451,1.9%
Afghanistan,,19,,19,0.1%,260,228,487,975,4.0%,98,117,68,283,1.0%,1277,1.7%
Kuwait,,5,5,10,0.0%,1,37,36,74,0.3%,681,277,126,1084,3.8%,1168,1.6%
Qatar,,,,,0.0%,280,,160,440,1.8%,,353,288,641,2.2%,1081,1.4%
Oman,8,140,278,426,2.0%,3,3,,6,0.0%,474,5,135,614,2.1%,1047,1.4%
Morocco,,,20,20,0.1%,3,35,447,485,2.0%,9,47,277,333,1.2%,838,1.1%
Germany,88,51,9,148,0.7%,311,255,35,601,2.4%,46,5,5,56,0.2%,806,1.1%
Mexico,90,8,29,127,0.6%,27,25,87,138,0.6%,25,190,223,438,1.5%,703,0.9%
Chile,16,,253,269,1.3%,30,132,39,201,0.8%,61,81,18,160,0.6%,630,0.8%
Norway,5,3,69,77,0.4%,105,91,73,269,1.1%,1,112,112,226,0.8%,572,0.8%
Netherlands,95,51,231,377,1.8%,61,35,8,104,0.4%,,10,43,53,0.2%,534,0.7%
Poland,5,11,346,361,1.7%,92,41,16,149,0.6%,1,4,,5,0.0%,515,0.7%
Colombia,,4,27,31,0.1%,147,64,80,292,1.2%,34,55,12,102,0.4%,424,0.6%
NATO**,,,,,0.0%,420,,,420,1.7%,,,,,0.0%,420,0.6%
Portugal,57,33,43,133,0.6%,89,88,88,264,1.1%,0 ,,1,1,0.0%,398,0.5%
Spain,158,,81,239,1.1%,52,7,20,79,0.3%,20,20,2,42,0.1%,360,0.5%
Denmark,143,22,8,174,0.8%,0 ,,,0 ,0.0%,28,42,103,173,0.6%,347,0.5%
Indonesia,2,1,9,11,0.1%,,,0 ,0 ,0.0%,150,83,94,327,1.1%,338,0.5%
Sweden,26,58,52,137,0.6%,2,,150,152,0.6%,,,9,9,0.0%,297,0.4%
Jordan,36,4,7,48,0.2%,13,6,23,42,0.2%,54,56,84,195,0.7%,285,0.4%
Philippines,20,12,13,46,0.2%,0 ,,60,60,0.2%,12,46,82,140,0.5%,245,0.3%
Brazil,20,18,19,57,0.3%,0 ,16,77,93,0.4%,16,37,31,84,0.3%,233,0.3%
Finland,,,,,0.0%,9,13,2,24,0.1%,44,98,64,206,0.7%,230,0.3%
France,78,2,2,82,0.4%,,54,22,76,0.3%,17,17,32,66,0.2%,223,0.3%
Thailand,36,17,5,58,0.3%,4,1,50,54,0.2%,32,27,46,105,0.4%,217,0.3%
New Zealand,33,,1,34,0.2%,,,,,0.0%,57,82,,138,0.5%,172,0.2%
Romania,,13,2,15,0.1%,31,61,42,134,0.5%,0 ,3,5,8,0.0%,158,0.2%
Bahrain,,63,3,65,0.3%,,68,,68,0.3%,,15,,15,0.1%,148,0.2%
Nigeria,,,,,0.0%,,,54,54,0.2%,63,7,6,76,0.3%,130,0.2%
Switzerland,18,,,18,0.1%,2,29,16,47,0.2%,1,1,61,63,0.2%,128,0.2%
Peru,47,25,22,93,0.4%,2,5,7,14,0.1%,,11,1,11,0.0%,118,0.2%
Lebanon,,1,,1,0.0%,16,10,,26,0.1%,5,38,27,69,0.2%,96,0.1%
Tunisia,,,2,2,0.0%,,7,7,14,0.1%,41,7,16,64,0.2%,80,0.1%
Argentina,18,3,9,30,0.1%,12,3,1,16,0.1%,3,18,6,27,0.1%,73,0.1%
Brunei,0 ,,,0 ,0.0%,,,,,0.0%,36,36,,73,0.3%,73,0.1%
Malaysia,9,1,13,23,0.1%,10,12,2,24,0.1%,10,4,10,23,0.1%,70,0.1%
Hungary,,,30,30,0.1%,4,18,4,26,0.1%,,,,,0.0%,55,0.1%
Bangladesh,,,,,0.0%,,,,,0.0%,,54,,54,0.2%,54,0.1%
South Africa,,,14,14,0.1%,9,13,16,38,0.2%,,,,,0.0%,52,0.1%
Latvia,,,,,0.0%,11,14,,25,0.1%,,,20,20,0.1%,45,0.1%
Czechia,,40,0 ,41,0.2%,1,2,2,4,0.0%,,0 ,,0 ,0.0%,45,0.1%
Algeria,,,,,0.0%,,11,11,23,0.1%,,3,17,20,0.1%,43,0.1%
Croatia,,,,,0.0%,,,,,0.0%,22,,20,42,0.1%,42,0.1%
Belgium,9,3,3,15,0.1%,11,2,2,15,0.1%,2,6,4,12,0.0%,41,0.1%
Dominican Republic,35,,,35,0.2%,,,,,0.0%,,1,0 ,1,0.0%,36,0.0%
Uzbekistan,,,,,0.0%,,,,,0.0%,,36,,36,0.1%,36,0.0%
DR Congo,,,,,0.0%,28,,,28,0.1%,,,,,0.0%,28,0.0%
Kazakhstan,19,,,19,0.1%,3,,,3,0.0%,3,,3,6,0.0%,27,0.0%
Yemen,,,3,3,0.0%,,,12,12,0.1%,,11,,11,0.0%,27,0.0%
Lithuania,3,3,13,18,0.1%,3,,,3,0.0%,,2,,2,0.0%,23,0.0%
Sri Lanka,13,,,13,0.1%,,,10,10,0.0%,,,,,0.0%,23,0.0%
Kenya,,,,,0.0%,,,,,0.0%,,1,19,20,0.1%,20,0.0%
Cameroon,,,,,0.0%,,10,,10,0.0%,,3,0 ,3,0.0%,13,0.0%
Ecuador,,2,,2,0.0%,1,10,,10,0.0%,,,,,0.0%,12,0.0%
Trinidad and Tobago,,,,,0.0%,,,12,12,0.0%,,,,,0.0%,12,0.0%
Malta,4,,,4,0.0%,,,8,8,0.0%,,,,,0.0%,12,0.0%
Equatorial Guinea,,,,,0.0%,1,,,1,0.0%,10,,,10,0.0%,11,0.0%
Niger,,,,,0.0%,,,,,0.0%,,9,0 ,10,0.0%,10,0.0%
Ethiopia,,,,,0.0%,,,,,0.0%,10,,,10,0.0%,10,0.0%
Central African Republic,,,9,9,0.0%,,,,,0.0%,,,,,0.0%,9,0.0%
Chad,,,1,1,0.0%,,,,,0.0%,6,,2,8,0.0%,9,0.0%
Ukraine,,,,,0.0%,,,,,0.0%,,4,5,9,0.0%,9,0.0%
Bulgaria,,,,,0.0%,,,3,3,0.0%,,5,,5,0.0%,8,0.0%
